"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10";"Time (s) Run #11";"Angle, Ch 1+2 (rad) Run #11";"Angle, Ch 3+4 (rad) Run #11";"Output Voltage (V) Run #11";"Output Current (A) Run #11";"Time (s) Run #12";"Angle, Ch 1+2 (rad) Run #12";"Angle, Ch 3+4 (rad) Run #12";"Output Voltage (V) Run #12";"Output Current (A) Run #12";"Time (s) Run #13";"Angle, Ch 1+2 (rad) Run #13";"Angle, Ch 3+4 (rad) Run #13";"Output Voltage (V) Run #13";"Output Current (A) Run #13";"Time (s) Run #14";"Angle, Ch 1+2 (rad) Run #14";"Angle, Ch 3+4 (rad) Run #14";"Output Voltage (V) Run #14";"Output Current (A) Run #14";"Time (s) Run #15";"Angle, Ch 1+2 (rad) Run #15";"Angle, Ch 3+4 (rad) Run #15";"Output Voltage (V) Run #15";"Output Current (A) Run #15";"Time (s) Run #16";"Angle, Ch 1+2 (rad) Run #16";"Angle, Ch 3+4 (rad) Run #16";"Output Voltage (V) Run #16";"Output Current (A) Run #16";"Time (s) Run #17";"Angle, Ch 1+2 (rad) Run #17";"Angle, Ch 3+4 (rad) Run #17";"Output Voltage (V) Run #17";"Output Current (A) Run #17";"Time (s) Run #18";"Angle, Ch 1+2 (rad) Run #18";"Angle, Ch 3+4 (rad) Run #18";"Output Voltage (V) Run #18";"Output Current (A) Run #18";"Time (s) Run #19";"Angle, Ch 1+2 (rad) Run #19";"Angle, Ch 3+4 (rad) Run #19";"Output Voltage (V) Run #19";"Output Current (A) Run #19";"Time (s) Run #20";"Angle, Ch 1+2 (rad) Run #20";"Angle, Ch 3+4 (rad) Run #20";"Output Voltage (V) Run #20";"Output Current (A) Run #20";"Time (s) Run #21";"Angle, Ch 1+2 (rad) Run #21";"Angle, Ch 3+4 (rad) Run #21";"Output Voltage (V) Run #21";"Output Current (A) Run #21";"Time (s) Run #22";"Angle, Ch 1+2 (rad) Run #22";"Angle, Ch 3+4 (rad) Run #22";"Output Voltage (V) Run #22";"Output Current (A) Run #22";"Time (s) Run #23";"Angle, Ch 1+2 (rad) Run #23";"Angle, Ch 3+4 (rad) Run #23";"Output Voltage (V) Run #23";"Output Current (A) Run #23";"Time (s) Run #24";"Angle, Ch 1+2 (rad) Run #24";"Angle, Ch 3+4 (rad) Run #24";"Output Voltage (V) Run #24";"Output Current (A) Run #24"
12,050;1,553;1,833;3,999;0,243;12,050;0,785;1,937;3,999;0,216;12,050;0,175;1,518;3,999;0,216;12,050;-0,471;0,314;4,747;0,253;12,050;-1,169;1,222;4,747;0,231;12,050;1,606;-1,763;4,747;0,257;12,050;2,234;-0,367;4,995;0,249;12,050;2,059;0,314;4,995;0,262;12,050;1,222;0,838;4,995;0,261;12,050;-7,191;-0,803;4,499;0,234;12,050;-4,067;1,100;4,499;0,234;12,050;6,074;0,140;4,500;0,266;12,050;-1,710;-0,035;4,601;0,242;12,050;-3,927;-0,017;4,601;0,237;12,050;4,782;-1,169;4,601;0,261;12,050;-0,890;-1,885;4,550;0,233;12,050;-7,051;-1,326;4,550;0,231;12,050;1,658;1,588;4,550;0,242;12,050;6,894;0,314;4,521;0,263;12,050;3,316;-1,204;4,521;0,251;12,050;-6,370;0,314;4,521;0,238;12,050;-4,590;1,449;4,506;0,233;12,050;1,641;2,635;4,506;0,228;12,050;6,353;1,134;4,507;0,264
12,100;1,082;1,588;3,999;0,250;12,100;1,082;2,112;3,999;0,217;12,100;0,541;1,710;3,999;0,219;12,100;0,314;0,000;4,747;0,254;12,100;-1,885;1,553;4,747;0,230;12,100;2,129;-2,025;4,747;0,263;12,100;1,955;-0,349;4,995;0,246;12,100;2,164;0,140;4,995;0,257;12,100;1,745;0,506;4,995;0,265;12,100;-6,789;-0,506;4,499;0,242;12,100;-2,793;1,152;4,499;0,231;12,100;5,358;-0,087;4,499;0,261;12,100;-0,454;-0,244;4,601;0,245;12,100;-2,985;-0,052;4,601;0,239;12,100;4,067;-1,466;4,601;0,260;12,100;-2,234;-1,780;4,550;0,230;12,100;-6,964;-1,030;4,550;0,233;12,100;2,950;1,361;4,550;0,251;12,100;6,754;0,035;4,521;0,274;12,100;1,955;-1,274;4,521;0,243;12,100;-5,498;0,593;4,521;0,228;12,100;-3,334;1,606;4,506;0,232;12,100;3,054;2,601;4,506;0,231;12,100;6,353;0,855;4,507;0,262
12,150;0,576;1,326;3,999;0,245;12,150;1,344;2,217;3,999;0,216;12,150;0,873;1,868;3,999;0,221;12,150;1,100;-0,314;4,747;0,258;12,150;-2,478;1,868;4,747;0,237;12,150;2,513;-2,251;4,747;0,259;12,150;1,553;-0,244;4,995;0,239;12,150;2,112;0,052;4,995;0,256;12,150;2,182;0,209;4,995;0,263;12,150;-6,091;-0,209;4,499;0,237;12,150;-1,396;1,134;4,499;0,234;12,150;4,398;-0,244;4,499;0,255;12,150;0,820;-0,506;4,601;0,250;12,150;-1,902;-0,192;4,601;0,240;12,150;3,159;-1,763;4,601;0,264;12,150;-3,438;-1,623;4,550;0,232;12,150;-6,580;-0,733;4,550;0,238;12,150;4,032;1,082;4,550;0,255;12,150;6,266;-0,227;4,521;0,262;12,150;0,506;-1,274;4,521;0,240;12,150;-4,381;0,855;4,521;0,232;12,150;-1,902;1,693;4,506;0,234;12,150;4,311;2,478;4,506;0,239;12,150;6,004;0,611;4,507;0,263
12,200;0,035;1,082;3,999;0,245;12,200;1,536;2,269;3,999;0,222;12,200;1,152;1,972;3,999;0,219;12,200;1,833;-0,628;4,747;0,263;12,200;-2,932;2,147;4,747;0,234;12,200;2,740;-2,443;4,747;0,255;12,200;1,082;-0,087;4,995;0,244;12,200;1,937;0,017;4,995;0,247;12,200;2,496;-0,035;4,995;0,264;12,200;-5,131;0,070;4,499;0,236;12,200;0,052;1,030;4,499;0,235;12,200;3,229;-0,384;4,500;0,248;12,200;2,007;-0,785;4,601;0,255;12,200;-0,733;-0,384;4,601;0,244;12,200;2,112;-2,025;4,601;0,255;12,200;-4,416;-1,414;4,550;0,233;12,200;-5,899;-0,454;4,550;0,231;12,200;4,887;0,785;4,550;0,259;12,200;5,498;-0,471;4,521;0,263;12,200;-0,925;-1,239;4,521;0,233;12,200;-3,089;1,082;4,521;0,231;12,200;-0,401;1,710;4,506;0,229;12,200;5,358;2,304;4,506;0,244;12,200;5,358;0,384;4,507;0,259
12,250;-0,489;0,838;3,999;0,242;12,250;1,676;2,269;3,999;0,224;12,250;1,379;2,025;3,999;0,223;12,250;2,496;-0,908;4,747;0,259;12,250;-3,211;2,391;4,747;0,236;12,250;2,775;-2,566;4,747;0,252;12,250;0,559;0,140;4,995;0,234;12,250;1,623;0,070;4,995;0,242;12,250;2,653;-0,227;4,995;0,258;12,250;-3,944;0,297;4,499;0,237;12,250;1,484;0,855;4,499;0,241;12,250;1,920;-0,436;4,499;0,245;12,250;3,037;-1,082;4,601;0,258;12,250;0,471;-0,628;4,601;0,248;12,250;0,960;-2,234;4,601;0,253;12,250;-5,166;-1,187;4,550;0,233;12,250;-4,939;-0,192;4,550;0,235;12,250;5,428;0,506;4,550;0,263;12,250;4,503;-0,663;4,521;0,252;12,250;-2,304;-1,134;4,521;0,235;12,250;-1,658;1,239;4,521;0,224;12,250;1,100;1,641;4,506;0,237;12,250;6,144;2,094;4,507;0,250;12,250;4,451;0,209;4,507;0,253
12,300;-0,995;0,611;3,999;0,241;12,300;1,745;2,217;3,999;0,228;12,300;1,536;2,007;3,999;0,230;12,300;3,019;-1,169;4,747;0,261;12,300;-3,281;2,548;4,747;0,239;12,300;2,653;-2,618;4,747;0,249;12,300;0,000;0,419;4,995;0,235;12,300;1,222;0,192;4,995;0,240;12,300;2,653;-0,367;4,995;0,254;12,300;-2,583;0,454;4,499;0,231;12,300;2,775;0,628;4,499;0,248;12,300;0,524;-0,454;4,499;0,236;12,300;3,857;-1,379;4,601;0,261;12,300;1,641;-0,908;4,601;0,255;12,300;-0,244;-2,426;4,601;0,241;12,300;-5,603;-0,908;4,550;0,235;12,300;-3,770;0,000;4,550;0,233;12,300;5,672;0,209;4,550;0,264;12,300;3,299;-0,820;4,521;0,252;12,300;-3,526;-0,977;4,521;0,230;12,300;-0,175;1,326;4,521;0,233;12,300;2,496;1,501;4,506;0,239;12,300;6,615;1,833;4,507;0,256;12,300;3,334;0,087;4,507;0,247
12,350;-1,466;0,419;3,999;0,239;12,350;1,745;2,094;3,999;0,234;12,350;1,606;1,920;3,999;0,230;12,350;3,403;-1,396;4,747;0,260;12,350;-3,176;2,635;4,747;0,239;12,350;2,356;-2,618;4,747;0,244;12,350;-0,541;0,733;4,995;0,234;12,350;0,733;0,384;4,995;0,239;12,350;2,513;-0,436;4,995;0,252;12,350;-1,117;0,541;4,499;0,237;12,350;3,892;0,367;4,499;0,254;12,350;-0,890;-0,401;4,499;0,235;12,350;4,416;-1,658;4,601;0,262;12,350;2,723;-1,222;4,601;0,257;12,350;-1,449;-2,548;4,601;0,247;12,350;-5,742;-0,628;4,550;0,238;12,350;-2,426;0,140;4,550;0,231;12,350;5,550;-0,052;4,550;0,262;12,350;1,955;-0,925;4,521;0,244;12,350;-4,555;-0,768;4,521;0,231;12,350;1,292;1,344;4,521;0,233;12,350;3,752;1,292;4,506;0,247;12,350;6,737;1,553;4,507;0,260;12,350;2,059;0,017;4,506;0,242
12,400;-1,868;0,244;3,999;0,238;12,400;1,658;1,937;3,999;0,240;12,400;1,588;1,780;3,999;0,235;12,400;3,578;-1,553;4,747;0,254;12,400;-2,862;2,618;4,747;0,242;12,400;1,920;-2,566;4,747;0,237;12,400;-1,030;1,082;4,995;0,235;12,400;0,209;0,646;4,995;0,232;12,400;2,217;-0,419;4,995;0,243;12,400;0,384;0,559;4,499;0,233;12,400;4,747;0,070;4,499;0,259;12,400;-2,269;-0,297;4,499;0,235;12,400;4,660;-1,902;4,601;0,261;12,400;3,648;-1,518;4,601;0,259;12,400;-2,601;-2,635;4,601;0,243;12,400;-5,550;-0,332;4,550;0,237;12,400;-0,960;0,209;4,550;0,232;12,400;5,114;-0,279;4,550;0,260;12,400;0,524;-0,960;4,521;0,241;12,400;-5,323;-0,524;4,521;0,234;12,400;2,653;1,292;4,521;0,229;12,400;4,765;1,047;4,507;0,255;12,400;6,510;1,274;4,507;0,259;12,400;0,681;0,000;4,506;0,233
12,450;-2,182;0,122;3,999;0,234;12,450;1,518;1,728;3,999;0,241;12,450;1,484;1,606;3,999;0,237;12,450;3,578;-1,658;4,747;0,252;12,450;-2,409;2,513;4,747;0,244;12,450;1,379;-2,426;4,747;0,234;12,450;-1,449;1,414;4,995;0,232;12,450;-0,349;0,942;4,995;0,237;12,450;1,798;-0,332;4,995;0,240;12,450;1,850;0,489;4,499;0,239;12,450;5,323;-0,209;4,499;0,262;12,450;-3,508;-0,140;4,499;0,232;12,450;4,625;-2,112;4,601;0,259;12,450;4,346;-1,798;4,601;0,262;12,450;-3,648;-2,653;4,601;0,234;12,450;-5,061;-0,035;4,550;0,239;12,450;0,541;0,192;4,550;0,234;12,450;4,381;-0,454;4,550;0,256;12,450;-0,908;-0,960;4,521;0,240;12,450;-5,812;-0,262;4,521;0,234;12,450;3,857;1,152;4,521;0,239;12,450;5,498;0,768;4,507;0,258;12,450;5,969;0,995;4,507;0,268;12,450;-0,733;0,035;4,506;0,231
12,500;-2,426;0,035;3,999;0,232;12,500;1,309;1,501;3,999;0,245;12,500;1,309;1,396;3,999;0,242;12,500;3,386;-1,693;4,747;0,245;12,500;-1,798;2,339;4,747;0,244;12,500;0,733;-2,251;4,747;0,232;12,500;-1,763;1,728;4,995;0,239;12,500;-0,873;1,274;4,994;0,232;12,500;1,292;-0,175;4,995;0,235;12,500;3,176;0,332;4,499;0,245;12,500;5,568;-0,506;4,499;0,264;12,500;-4,590;0,052;4,499;0,234;12,500;4,276;-2,269;4,601;0,253;12,500;4,765;-2,059;4,601;0,263;12,500;-4,538;-2,618;4,601;0,234;12,500;-4,294;0,244;4,550;0,235;12,500;1,990;0,087;4,550;0,234;12,500;3,421;-0,593;4,550;0,248;12,500;-2,304;-0,908;4,521;0,241;12,500;-5,986;0,035;4,521;0,234;12,500;4,817;0,960;4,521;0,248;12,500;5,917;0,489;4,507;0,261;12,500;5,149;0,733;4,507;0,268;12,500;-2,112;0,122;4,506;0,232
12,550;-2,583;-0,017;3,999;0,228;12,550;1,047;1,239;3,999;0,242;12,550;1,047;1,152;3,999;0,242;12,550;3,002;-1,676;4,747;0,244;12,550;-1,100;2,094;4,747;0,249;12,550;0,035;-2,007;4,747;0,230;12,550;-1,955;2,007;4,995;0,238;12,550;-1,344;1,623;4,995;0,236;12,550;0,716;0,035;4,995;0,232;12,550;4,311;0,122;4,499;0,248;12,550;5,463;-0,768;4,499;0,264;12,550;-5,428;0,297;4,499;0,233;12,550;3,700;-2,391;4,601;0,249;12,550;4,887;-2,286;4,601;0,260;12,550;-5,236;-2,513;4,601;0,239;12,550;-3,264;0,471;4,550;0,233;12,550;3,299;-0,070;4,550;0,245;12,550;2,269;-0,681;4,550;0,246;12,550;-3,560;-0,785;4,521;0,230;12,550;-5,847;0,332;4,521;0,235;12,550;5,515;0,733;4,521;0,253;12,550;5,986;0,192;4,507;0,266;12,550;4,084;0,489;4,507;0,248;12,550;-3,403;0,279;4,506;0,229
12,600;-2,618;-0,035;3,999;0,227;12,600;0,750;0,995;3,999;0,242;12,600;0,733;0,890;3,999;0,247;12,600;2,478;-1,571;4,747;0,238;12,600;-0,314;1,798;4,747;0,253;12,600;-0,681;-1,728;4,747;0,230;12,600;-2,007;2,199;4,995;0,243;12,600;-1,728;1,955;4,995;0,238;12,600;0,087;0,297;4,995;0,232;12,600;5,201;-0,140;4,499;0,258;12,600;5,027;-0,995;4,499;0,258;12,600;-5,986;0,576;4,499;0,237;12,600;2,880;-2,443;4,601;0,245;12,600;4,695;-2,461;4,601;0,256;12,600;-5,690;-2,374;4,601;0,230;12,600;-2,025;0,628;4,550;0,236;12,600;4,433;-0,297;4,550;0,245;12,600;0,995;-0,716;4,550;0,235;12,600;-4,625;-0,611;4,521;0,237;12,600;-5,393;0,628;4,521;0,238;12,600;5,899;0,471;4,521;0,254;12,600;5,690;-0,087;4,507;0,265;12,600;2,845;0,297;4,507;0,247;12,600;-4,520;0,471;4,506;0,232
12,650;-2,566;0,000;3,999;0,229;12,650;0,419;0,733;3,999;0,246;12,650;0,367;0,646;3,999;0,243;12,650;1,833;-1,431;4,747;0,233;12,650;0,471;1,484;4,747;0,253;12,650;-1,361;-1,431;4,747;0,230;12,650;-1,920;2,286;4,995;0,240;12,650;-2,025;2,251;4,995;0,237;12,650;-0,524;0,611;4,995;0,232;12,650;5,794;-0,419;4,499;0,265;12,650;4,328;-1,187;4,499;0,255;12,650;-6,231;0,873;4,499;0,240;12,650;1,902;-2,443;4,601;0,237;12,650;4,241;-2,583;4,601;0,250;12,650;-5,882;-2,164;4,601;0,234;12,650;-0,628;0,716;4,550;0,233;12,650;5,306;-0,541;4,550;0,254;12,650;-0,367;-0,698;4,550;0,234;12,650;-5,463;-0,401;4,521;0,231;12,650;-4,643;0,908;4,521;0,235;12,650;5,917;0,192;4,521;0,264;12,650;5,079;-0,332;4,507;0,262;12,650;1,466;0,140;4,506;0,248;12,650;-5,411;0,698;4,506;0,231
12,700;-2,409;0,087;3,999;0,225;12,700;0,070;0,489;3,999;0,241;12,700;-0,035;0,384;3,999;0,246;12,700;1,100;-1,222;4,747;0,233;12,700;1,239;1,169;4,747;0,260;12,700;-1,955;-1,100;4,747;0,233;12,700;-1,693;2,286;4,995;0,240;12,700;-2,164;2,496;4,995;0,240;12,700;-1,082;0,960;4,995;0,232;12,700;6,039;-0,716;4,499;0,262;12,700;3,368;-1,344;4,499;0,253;12,700;-6,178;1,169;4,499;0,237;12,700;0,785;-2,374;4,601;0,233;12,700;3,543;-2,653;4,601;0,246;12,700;-5,812;-1,920;4,601;0,230;12,700;0,855;0,716;4,550;0,238;12,700;5,882;-0,820;4,550;0,259;12,700;-1,763;-0,611;4,550;0,232;12,700;-6,021;-0,140;4,521;0,237;12,700;-3,648;1,117;4,521;0,235;12,700;5,585;-0,105;4,521;0,262;12,700;4,189;-0,541;4,507;0,259;12,700;0,017;0,035;4,507;0,243;12,700;-6,039;0,977;4,506;0,231
12,750;-2,182;0,209;3,999;0,222;12,750;-0,297;0,262;3,999;0,240;12,750;-0,436;0,157;3,999;0,242;12,750;0,332;-0,960;4,747;0,232;12,750;1,955;0,873;4,747;0,260;12,750;-2,461;-0,785;4,747;0,232;12,750;-1,344;2,164;4,995;0,247;12,750;-2,182;2,635;4,995;0,240;12,750;-1,588;1,292;4,995;0,233;12,750;5,934;-0,995;4,499;0,269;12,750;2,217;-1,449;4,499;0,245;12,750;-5,794;1,466;4,499;0,239;12,750;-0,419;-2,251;4,601;0,231;12,750;2,653;-2,653;4,601;0,239;12,750;-5,480;-1,641;4,601;0,234;12,750;2,339;0,646;4,550;0,236;12,750;6,109;-1,117;4,550;0,264;12,750;-3,089;-0,471;4,550;0,230;12,750;-6,266;0,140;4,521;0,238;12,750;-2,426;1,274;4,521;0,233;12,750;4,939;-0,367;4,521;0,258;12,750;3,072;-0,716;4,507;0,250;12,750;-1,431;-0,017;4,506;0,237;12,750;-6,370;1,257;4,506;0,233
12,800;-1,885;0,349;3,999;0,222;12,800;-0,663;0,070;3,999;0,239;12,800;-0,855;-0,070;3,999;0,241;12,800;-0,436;-0,681;4,747;0,230;12,800;2,548;0,593;4,747;0,262;12,800;-2,827;-0,506;4,747;0,233;12,800;-0,890;1,972;4,995;0,255;12,800;-2,042;2,688;4,995;0,236;12,800;-1,972;1,623;4,995;0,238;12,800;5,463;-1,274;4,499;0,265;12,800;0,908;-1,484;4,499;0,241;12,800;-5,131;1,728;4,499;0,236;12,800;-1,623;-2,077;4,601;0,228;12,800;1,606;-2,601;4,601;0,235;12,800;-4,904;-1,344;4,601;0,236;12,800;3,752;0,489;4,550;0,242;12,800;5,986;-1,396;4,550;0,261;12,800;-4,311;-0,297;4,550;0,230;12,800;-6,196;0,436;4,521;0,234;12,800;-1,030;1,361;4,521;0,237;12,800;4,032;-0,628;4,521;0,259;12,800;1,780;-0,838;4,507;0,247;12,800;-2,827;-0,035;4,506;0,231;12,800;-6,405;1,553;4,506;0,233
12,850;-1,518;0,541;3,999;0,219;12,850;-1,012;-0,087;3,999;0,239;12,850;-1,257;-0,244;3,999;0,242;12,850;-1,152;-0,349;4,747;0,237;12,850;2,985;0,367;4,747;0,258;12,850;-3,037;-0,262;4,747;0,237;12,850;-0,367;1,710;4,995;0,250;12,850;-1,798;2,618;4,995;0,245;12,850;-2,217;1,885;4,995;0,234;12,850;4,712;-1,518;4,499;0,264;12,850;-0,471;-1,484;4,499;0,235;12,850;-4,206;1,955;4,499;0,237;12,850;-2,793;-1,868;4,601;0,230;12,850;0,471;-2,478;4,601;0,233;12,850;-4,102;-1,030;4,601;0,230;12,850;5,027;0,279;4,550;0,248;12,850;5,515;-1,658;4,550;0,262;12,850;-5,341;-0,070;4,550;0,231;12,850;-5,829;0,733;4,521;0,241;12,850;0,454;1,361;4,521;0,234;12,850;2,897;-0,855;4,521;0,257;12,850;0,367;-0,925;4,507;0,240;12,850;-4,067;0,017;4,506;0,227;12,850;-6,109;1,850;4,506;0,236
12,900;-1,100;0,768;3,999;0,220;12,900;-1,344;-0,227;3,999;0,231;12,900;-1,641;-0,401;3,999;0,238;12,900;-1,780;-0,035;4,747;0,231;12,900;3,264;0,192;4,747;0,258;12,900;-3,054;-0,087;4,747;0,237;12,900;0,192;1,396;4,995;0,259;12,900;-1,431;2,461;4,995;0,248;12,900;-2,321;2,094;4,995;0,240;12,900;3,718;-1,728;4,499;0,260;12,900;-1,885;-1,414;4,499;0,230;12,900;-3,054;2,112;4,499;0,236;12,900;-3,857;-1,606;4,601;0,233;12,900;-0,716;-2,321;4,601;0,231;12,900;-3,124;-0,733;4,601;0,232;12,900;6,056;0,035;4,550;0,249;12,900;4,765;-1,902;4,550;0,261;12,900;-6,126;0,192;4,550;0,230;12,900;-5,149;1,030;4,521;0,237;12,900;1,972;1,274;4,521;0,235;12,900;1,606;-1,030;4,521;0,247;12,900;-1,100;-0,942;4,506;0,235;12,900;-5,131;0,122;4,506;0,231;12,900;-5,533;2,112;4,506;0,234
12,950;-0,663;0,995;3,999;0,221;12,950;-1,623;-0,314;3,999;0,230;12,950;-1,990;-0,524;3,999;0,231;12,950;-2,286;0,279;4,747;0,238;12,950;3,334;0,070;4,747;0,251;12,950;-2,915;0,017;4,747;0,237;12,950;0,768;1,047;4,995;0,259;12,950;-0,995;2,234;4,995;0,248;12,950;-2,269;2,217;4,995;0,240;12,950;2,496;-1,902;4,499;0,252;12,950;-3,229;-1,292;4,499;0,229;12,950;-1,710;2,182;4,499;0,235;12,950;-4,765;-1,309;4,601;0,231;12,950;-1,885;-2,112;4,601;0,230;12,950;-1,990;-0,454;4,601;0,225;12,950;6,824;-0,244;4,550;0,255;12,950;3,770;-2,094;4,550;0,253;12,950;-6,650;0,489;4,550;0,233;12,950;-4,206;1,292;4,521;0,237;12,950;3,403;1,117;4,521;0,244;12,950;0,209;-1,169;4,521;0,245;12,950;-2,566;-0,908;4,506;0,230;12,950;-5,969;0,262;4,506;0,229;12,950;-4,660;2,356;4,506;0,233
13,000;-0,192;1,257;3,999;0,215;13,000;-1,850;-0,384;3,999;0,230;13,000;-2,269;-0,611;3,999;0,235;13,000;-2,635;0,559;4,747;0,234;13,000;3,229;0,000;4,747;0,250;13,000;-2,618;0,017;4,747;0,238;13,000;1,309;0,733;4,995;0,263;13,000;-0,471;1,937;4,995;0,258;13,000;-2,059;2,217;4,995;0,242;13,000;1,134;-2,025;4,499;0,246;13,000;-4,468;-1,117;4,499;0,229;13,000;-0,262;2,182;4,499;0,236;13,000;-5,445;-0,995;4,601;0,233;13,000;-2,985;-1,850;4,601;0,229;13,000;-0,768;-0,227;4,601;0,230;13,000;7,295;-0,541;4,550;0,260;13,000;2,566;-2,251;4,550;0,250;13,000;-6,877;0,785;4,550;0,235;13,000;-3,037;1,501;4,521;0,237;13,000;4,695;0,890;4,521;0,247;13,000;-1,239;-1,274;4,521;0,241;13,000;-3,927;-0,803;4,506;0,233;13,000;-6,510;0,454;4,506;0,231;13,000;-3,578;2,531;4,506;0,233
13,050;0,279;1,518;3,999;0,218;13,050;-2,007;-0,401;3,999;0,228;13,050;-2,478;-0,646;3,999;0,225;13,050;-2,810;0,768;4,747;0,235;13,050;2,932;0,000;4,747;0,244;13,050;-2,182;-0,070;4,747;0,242;13,050;1,798;0,419;4,995;0,261;13,050;0,070;1,606;4,995;0,258;13,050;-1,728;2,129;4,995;0,243;13,050;-0,332;-2,077;4,499;0,244;13,050;-5,533;-0,908;4,499;0,230;13,050;1,222;2,094;4,499;0,238;13,050;-5,882;-0,698;4,601;0,232;13,050;-3,962;-1,553;4,601;0,234;13,050;0,506;-0,070;4,601;0,231;13,050;7,400;-0,820;4,550;0,260;13,050;1,222;-2,374;4,550;0,246;13,050;-6,789;1,065;4,550;0,234;13,050;-1,676;1,623;4,521;0,232;13,050;5,777;0,628;4,521;0,255;13,050;-2,670;-1,309;4,521;0,233;13,050;-5,131;-0,663;4,506;0,228;13,050;-6,754;0,681;4,506;0,231;13,050;-2,286;2,618;4,506;0,231
13,100;0,733;1,780;3,999;0,214;13,100;-2,077;-0,367;3,999;0,226;13,100;-2,635;-0,646;3,999;0,226;13,100;-2,793;0,908;4,747;0,235;13,100;2,478;0,052;4,747;0,237;13,100;-1,623;-0,227;4,747;0,243;13,100;2,182;0,140;4,995;0,266;13,100;0,611;1,274;4,995;0,264;13,100;-1,274;1,937;4,995;0,249;13,100;-1,798;-2,094;4,499;0,235;13,100;-6,353;-0,646;4,499;0,233;13,100;2,653;1,937;4,499;0,244;13,100;-6,056;-0,419;4,601;0,235;13,100;-4,730;-1,257;4,601;0,234;13,100;1,763;0,017;4,601;0,231;13,100;7,138;-1,082;4,550;0,271;13,100;-0,209;-2,443;4,550;0,237;13,100;-6,388;1,344;4,550;0,236;13,100;-0,209;1,676;4,521;0,239;13,100;6,580;0,349;4,521;0,261;13,100;-4,014;-1,309;4,521;0,234;13,100;-6,126;-0,471;4,506;0,232;13,100;-6,685;0,942;4,506;0,241;13,100;-0,855;2,635;4,506;0,235
13,150;1,152;2,025;3,999;0,217;13,150;-2,077;-0,297;3,999;0,220;13,150;-2,688;-0,593;3,999;0,229;13,150;-2,583;0,960;4,747;0,244;13,150;1,885;0,175;4,747;0,235;13,150;-0,977;-0,471;4,747;0,249;13,150;2,443;-0,070;4,995;0,261;13,150;1,117;0,960;4,995;0,260;13,150;-0,733;1,693;4,995;0,253;13,150;-3,211;-2,042;4,499;0,235;13,150;-6,912;-0,367;4,499;0,234;13,150;3,962;1,728;4,499;0,251;13,150;-5,917;-0,157;4,601;0,238;13,150;-5,271;-0,942;4,601;0,234;13,150;2,932;0,017;4,601;0,237;13,150;6,562;-1,326;4,550;0,263;13,150;-1,658;-2,443;4,550;0,236;13,150;-5,707;1,588;4,550;0,234;13,150;1,309;1,641;4,521;0,236;13,150;7,086;0,052;4,521;0,261;13,150;-5,201;-1,239;4,521;0,239;13,150;-6,859;-0,244;4,506;0,234;13,150;-6,301;1,222;4,506;0,236;13,150;0,628;2,583;4,506;0,230
